index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1195,2018,"47,916 kms",First Owner,Diesel,Manual,Bangalore,20 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,7,Grey,5 Speed,RWD,,,Drum,,,5,7,4,DOHC,Direct Injection
1196,2018,"34,052 kms",First Owner,Diesel,Manual,Bangalore,20.25 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,7,Silver,5 Speed,RWD,,,,,,5,7,4,DOHC,Direct Injection
1197,2014,"76,000 kms",Second Owner,Diesel,Automatic,Bangalore,20.5 Lakh*,Audi,15.73 kmpl,1968 CC,174.33 bhp,,5,Red,7-Speed S-Tronic,,,,,,,,,,,
1198,2016,"91,000 kms",Second Owner,Diesel,Automatic,Bangalore,20.5 Lakh*,Ford,12.62 kmpl,2198 CC,158bhp,3200rpm,7,White,6 Speed,FWD,,,,,,5,4,4,DOHC,TDCi
1199,2013,"43,005 kms",First Owner,Diesel,Automatic,Bangalore,20.7 Lakh*,Mercedes-Benz,14.84 kmpl,2143 CC,167.62bhp,3000-4200rpm,5,Black,7 Speed,,Power,Ventilated Disc,Solid Disc,228km/hr,8.5 seconds,4,4,4,,Direct Injection
1200,2015,"68,000 kms",First Owner,Diesel,Automatic,Bangalore,20.75 Lakh*,Mercedes-Benz,17.9 kmpl,2143 CC,136bhp,3600-4400rpm,5,White,7 Speed,FWD,,,,220 Kmph,9.8 Seconds,4,4,4,DOHC,CRDi
1201,2015,"69,000 kms",Second Owner,Diesel,Automatic,Bangalore,21 Lakh*,Mercedes-Benz,17.9 kmpl,2143 CC,136 bhp,,5,White,7 Speed,FWD,,,,,,,,,,
1202,2020,"2,499 kms",First Owner,Petrol,Automatic,Bangalore,21 Lakh*,MG,13.96 kmpl,1451 CC,141 bhp,,5,Maroon,6 Speed,FWD,,,,,,,,,,
1203,2021,"3,000 kms",First Owner,Petrol,Automatic,Bangalore,21 Lakh*,MG,13.96 kmpl,1451 CC,141 bhp,,5,Maroon,6 Speed,FWD,,,,,,,4,4,,
1204,2010,"50,000 kms",Second Owner,Diesel,Automatic,Bangalore,21.5 Lakh*,BMW,14.49 kmpl,2993 CC,258bhp,4000rpm,5,White,8 Speed,RWD,,Disc,Disc,250 kmph,6.2 Seconds,4,6,4,DOHC,CRDi
1205,2014,"67,000 kms",Second Owner,Diesel,Automatic,Bangalore,21.5 Lakh*,Audi,15.73 kmpl,1968 CC,174.33 bhp,,5,White,7-Speed S-Tronic,,,,,,,,,,,
1206,2012,"1,10,000 kms",First Owner,Diesel,Automatic,Bangalore,21.5 Lakh*,Jaguar,14.74 kmpl,2993 CC,270.9bhp,4000rpm,5,Black,8 Speed,RWD,,Disc,Disc,250 Kmph,6.4 Seconds,4,6,4,DOHC,Direct Injection
1207,2021,"3,000 kms",First Owner,Petrol,Automatic,Bangalore,21.5 Lakh*,MG,11.67 kmpl,1451 CC,141bhp,5000rpm,6,Red,6-speed DCT,,,,,,,5,4,4,,
1208,2014,"60,000 kms",Second Owner,Diesel,Automatic,Bangalore,21.75 Lakh*,Mercedes-Benz,13.0 kmpl,2143 CC,201.1bhp,4200rpm,5,White,7 Speed,RWD,Power,Disc,Disc,242 kmph,7.5 Seconds,4,4,4,DOHC,Direct Injection
1209,2018,"25,000 kms",First Owner,Petrol,Automatic,Bangalore,21.93 Lakh*,Toyota,10.75 kmpl,2694 CC,163.7bhp,5200rpm,7,Grey,6 Speed,RWD,,,,,10.82 s,5,4,4,DOHC,Dual VVT-i
1210,2020,"24,850 kms",First Owner,Diesel,Manual,Bangalore,21.95 Lakh*,Tata,17.0 kmpl,1956 CC,167.63 bhp,,5,Maroon,6 Speed,FWD,,,,,,,,,,
1211,2016,"48,304 kms",Second Owner,Diesel,Automatic,Bangalore,21.99 Lakh*,Toyota,12.55 kmpl,2982 CC,168.5 bhp,,7,White,5 Speed,4WD,,,,,,,,,,
1212,2015,"79,000 kms",Second Owner,Diesel,Automatic,Bangalore,22.45 Lakh*,Audi,17.68 kmpl,1968 CC,174.33 bhp,,5,Silver,8 Speed,,,,,,,,,,,
1213,2015,"79,000 kms",Second Owner,Diesel,Automatic,Bangalore,22.65 Lakh*,Audi,18.53 kmpl,1968 CC,187.74bhp,3800-4200rpm,5,White,7 Speed,,,Ventilated Disc,Ventilated Disc,232 Kmph,8.4 Seconds,4,4,4,DOHC,CRDI
1214,2019,"19,665 kms",First Owner,Diesel,Manual,Bangalore,22.65 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51 bhp,,8,Silver,5 Speed,RWD,,,,,,,,,,
1215,2014,"97,022 kms",First Owner,Diesel,Automatic,Bangalore,22.75 Lakh*,Audi,17.68 kmpl,1968 CC,174.33 bhp,,5,Black,8 Speed,,,,,,,,,,,
1216,2016,"38,700 kms",First Owner,Diesel,Automatic,Bangalore,22.85 Lakh*,Volvo,27.03 kmpl,1969 CC,190bhp,,5,Silver,8 Speed,FWD,,Disc,Disc,215 Kmph,9.2 Seconds,4,4,4,DOHC,CRDI
1217,2012,"70,000 kms",Third Owner,Diesel,Automatic,Bangalore,23.5 Lakh*,Mercedes-Benz,0.0 kmpl,2987 CC,165 [224] at 3800,,5,Silver,7 Speed,AWD,,Ventilated Disc,Disc,225 kmph,8.4 seconds,4,6,4,DOHC,
1218,2019,"40,000 kms",First Owner,Diesel,Manual,Bangalore,23.5 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51bhp,3400rpm,7,White,5 Speed,RWD,Power,Disc,Drum,,,5,7,4,DOHC,CRDi
1219,2015,"92,400 kms",First Owner,Diesel,Automatic,Bangalore,23.55 Lakh*,Mercedes-Benz,19.4 kmpl,2143 CC,204bhp,3800rpm,4,White,7 Speed,RWD,,,,,7.5 Seconds,4,4,4,DOHC,CRDI
1220,2015,"60,000 kms",First Owner,Diesel,Automatic,Bangalore,23.75 Lakh*,Toyota,12.55 kmpl,2982 CC,168.5bhp,3600rpm,7,White,5 Speed,4WD,,,Drum,176 Kmph,9.6 Seconds,5,4,4,DOHC,CRDi
1221,2015,"56,445 kms",First Owner,Diesel,Automatic,Bangalore,23.85 Lakh*,Audi,17.11 kmpl,1968 CC,174.33bhp,4200rpm,5,Black,8 Speed,FWD,,,Disc,222 Kmph,7.9 Seconds,4,4,4,DOHC,CRDI
